INSEE_COM,Nom_de_la_commune,POSTAL_COM,LibellÈ_d_acheminement,Territoire
75101,PARIS 01,75001,PARIS,T1
75102,PARIS 02,75002,PARIS,T1
75103,PARIS 03,75003,PARIS,T1
75104,PARIS 04,75004,PARIS,T1
75105,PARIS 05,75005,PARIS,T1
75106,PARIS 06,75006,PARIS,T1
75107,PARIS 07,75007,PARIS,T1
75108,PARIS 08,75008,PARIS,T1
75109,PARIS 09,75009,PARIS,T1
75110,PARIS 10,75010,PARIS,T1
75111,PARIS 11,75011,PARIS,T1
75112,PARIS 12,75012,PARIS,T1
75113,PARIS 13,75013,PARIS,T1
75114,PARIS 14,75014,PARIS,T1
75115,PARIS 15,75015,PARIS,T1
75116,PARIS 16,75016,PARIS,T1
75116,PARIS 16,75116,PARIS,T1
75117,PARIS 17,75017,PARIS,T1
75118,PARIS 18,75018,PARIS,T1
75119,PARIS 19,75019,PARIS,T1
75120,PARIS 20,75020,PARIS,T1
91027,ATHIS MONS,91200,ATHIS MONS,T12
91326,JUVISY SUR ORGE,91260,JUVISY SUR ORGE,T12
91432,MORANGIS,91420,MORANGIS,T12
91479,PARAY VIEILLE POSTE,91550,PARAY VIEILLE POSTE,T12
91479,PARAY VIEILLE POSTE,94390,PARAY VIEILLE POSTE,T12
91589,SAVIGNY SUR ORGE,91600,SAVIGNY SUR ORGE,T12
91687,VIRY CHATILLON,91170,VIRY CHATILLON,T12
92002,ANTONY,92160,ANTONY,T2
92004,ASNIERES SUR SEINE,92600,ASNIERES SUR SEINE,T5
92007,BAGNEUX,92220,BAGNEUX,T2
92009,BOIS COLOMBES,92270,BOIS COLOMBES,T5
92012,BOULOGNE BILLANCOURT,92100,BOULOGNE BILLANCOURT,T3
92014,BOURG LA REINE,92340,BOURG LA REINE,T2
92019,CHATENAY MALABRY,92290,CHATENAY MALABRY,T2
92020,CHATILLON,92320,CHATILLON,T2
92022,CHAVILLE,92370,CHAVILLE,T3
92023,CLAMART,92140,CLAMART,T2
92024,CLICHY,92110,CLICHY,T5
92025,COLOMBES,92700,COLOMBES,T5
92026,COURBEVOIE,92400,COURBEVOIE,T4
92032,FONTENAY AUX ROSES,92260,FONTENAY AUX ROSES,T2
92033,GARCHES,92380,GARCHES,T4
92035,LA GARENNE COLOMBES,92250,LA GARENNE COLOMBES,T4
92036,GENNEVILLIERS,92230,GENNEVILLIERS,T5
92040,ISSY LES MOULINEAUX,92130,ISSY LES MOULINEAUX,T3
92044,LEVALLOIS PERRET,92300,LEVALLOIS PERRET,T4
92046,MALAKOFF,92240,MALAKOFF,T2
92047,MARNES LA COQUETTE,92430,MARNES LA COQUETTE,T3
92048,MEUDON,92190,MEUDON,T3
92048,MEUDON,92360,MEUDON,T3
92049,MONTROUGE,92120,MONTROUGE,T2
92050,NANTERRE,92000,NANTERRE,T4
92051,NEUILLY SUR SEINE,92200,NEUILLY SUR SEINE,T4
92060,LE PLESSIS ROBINSON,92350,LE PLESSIS ROBINSON,T2
92062,PUTEAUX,92800,PUTEAUX,T4
92063,RUEIL MALMAISON,92500,RUEIL MALMAISON,T4
92064,ST CLOUD,92210,ST CLOUD,T4
92071,SCEAUX,92330,SCEAUX,T2
92072,SEVRES,92310,SEVRES,T3
92073,SURESNES,92150,SURESNES,T4
92075,VANVES,92170,VANVES,T3
92076,VAUCRESSON,92420,VAUCRESSON,T4
92077,VILLE D AVRAY,92410,VILLE D AVRAY,T3
92078,VILLENEUVE LA GARENNE,92390,VILLENEUVE LA GARENNE,T5
93001,AUBERVILLIERS,93300,AUBERVILLIERS,T6
93005,AULNAY SOUS BOIS,93600,AULNAY SOUS BOIS,T7
93006,BAGNOLET,93170,BAGNOLET,T8
93007,LE BLANC MESNIL,93150,LE BLANC MESNIL,T7
93008,BOBIGNY,93000,BOBIGNY,T8
93010,BONDY,93140,BONDY,T8
93013,LE BOURGET,93350,LE BOURGET,T7
93014,CLICHY SOUS BOIS,93390,CLICHY SOUS BOIS,T9
93015,COUBRON,93470,COUBRON,T9
93027,LA COURNEUVE,93120,LA COURNEUVE,T6
93029,DRANCY,93700,DRANCY,T7
93030,DUGNY,93440,DUGNY,T7
93031,EPINAY SUR SEINE,93800,EPINAY SUR SEINE,T6
93032,GAGNY,93220,GAGNY,T9
93033,GOURNAY SUR MARNE,93460,GOURNAY SUR MARNE,T9
93039,L ILE ST DENIS,93450,L ILE ST DENIS,T6
93045,LES LILAS,93260,LES LILAS,T8
93046,LIVRY GARGAN,93190,LIVRY GARGAN,T9
93047,MONTFERMEIL,93370,MONTFERMEIL,T9
93048,MONTREUIL,93100,MONTREUIL,T8
93049,NEUILLY PLAISANCE,93360,NEUILLY PLAISANCE,T9
93050,NEUILLY SUR MARNE,93330,NEUILLY SUR MARNE,T9
93051,NOISY LE GRAND,93160,NOISY LE GRAND,T9
93053,NOISY LE SEC,93130,NOISY LE SEC,T8
93055,PANTIN,93500,PANTIN,T8
93057,LES PAVILLONS SOUS BOIS,93320,LES PAVILLONS SOUS BOIS,T9
93059,PIERREFITTE SUR SEINE,93380,PIERREFITTE SUR SEINE,T6
93061,LE PRE ST GERVAIS,93310,LE PRE ST GERVAIS,T8
93062,LE RAINCY,93340,LE RAINCY,T9
93063,ROMAINVILLE,93230,ROMAINVILLE,T8
93064,ROSNY SOUS BOIS,93110,ROSNY SOUS BOIS,T9
93066,ST DENIS,93200,ST DENIS,T6
93066,ST DENIS,93210,ST DENIS,T6
93070,ST OUEN,93400,ST OUEN,T6
93071,SEVRAN,93270,SEVRAN,T7
93072,STAINS,93240,STAINS,T6
93073,TREMBLAY EN FRANCE,93290,TREMBLAY EN FRANCE,T7
93074,VAUJOURS,93410,VAUJOURS,T9
93077,VILLEMOMBLE,93250,VILLEMOMBLE,T9
93078,VILLEPINTE,93420,VILLEPINTE,T7
93079,VILLETANEUSE,93430,VILLETANEUSE,T6
94001,ABLON SUR SEINE,94480,ABLON SUR SEINE,T12
94002,ALFORTVILLE,94140,ALFORTVILLE,T11
94003,ARCUEIL,94110,ARCUEIL,T12
94004,BOISSY ST LEGER,94470,BOISSY ST LEGER,T11
94011,BONNEUIL SUR MARNE,94380,BONNEUIL SUR MARNE,T11
94015,BRY SUR MARNE,94360,BRY SUR MARNE,T10
94016,CACHAN,94230,CACHAN,T12
94017,CHAMPIGNY SUR MARNE,94500,CHAMPIGNY SUR MARNE,T10
94018,CHARENTON LE PONT,94220,CHARENTON LE PONT,T10
94019,CHENNEVIERES SUR MARNE,94430,CHENNEVIERES SUR MARNE,T11
94021,CHEVILLY LARUE,94550,CHEVILLY LARUE,T12
94022,CHOISY LE ROI,94600,CHOISY LE ROI,T12
94028,CRETEIL,94000,CRETEIL,T11
94033,FONTENAY SOUS BOIS,94120,FONTENAY SOUS BOIS,T10
94034,FRESNES,94260,FRESNES,T12
94037,GENTILLY,94250,GENTILLY,T12
94038,L HAY LES ROSES,94240,L HAY LES ROSES,T12
94041,IVRY SUR SEINE,94200,IVRY SUR SEINE,T12
94042,JOINVILLE LE PONT,94340,JOINVILLE LE PONT,T10
94043,LE KREMLIN BICETRE,94270,LE KREMLIN BICETRE,T12
94044,LIMEIL BREVANNES,94450,LIMEIL BREVANNES,T11
94046,MAISONS ALFORT,94700,MAISONS ALFORT,T10
94047,MANDRES LES ROSES,94520,MANDRES LES ROSES,T11
94048,MAROLLES EN BRIE,94440,MAROLLES EN BRIE,T11
94052,NOGENT SUR MARNE,94130,NOGENT SUR MARNE,T10
94053,NOISEAU,94880,NOISEAU,T11
94054,ORLY,94310,ORLY,T12
94055,ORMESSON SUR MARNE,94490,ORMESSON SUR MARNE,T11
94056,PERIGNY,94520,PERIGNY SUR YERRES,T11
94058,LE PERREUX SUR MARNE,94170,LE PERREUX SUR MARNE,T10
94059,LE PLESSIS TREVISE,94420,LE PLESSIS TREVISE,T11
94060,LA QUEUE EN BRIE,94510,LA QUEUE EN BRIE,T11
94065,RUNGIS,94150,RUNGIS,T12
94067,ST MANDE,94160,ST MANDE,T10
94068,ST MAUR DES FOSSES,94100,ST MAUR DES FOSSES,T10
94068,ST MAUR DES FOSSES,94210,ST MAUR DES FOSSES,T10
94069,ST MAURICE,94410,ST MAURICE,T10
94070,SANTENY,94440,SANTENY,T11
94071,SUCY EN BRIE,94370,SUCY EN BRIE,T11
94073,THIAIS,94320,THIAIS,T12
94074,VALENTON,94460,VALENTON,T12
94075,VILLECRESNES,94440,VILLECRESNES,T11
94076,VILLEJUIF,94800,VILLEJUIF,T12
94077,VILLENEUVE LE ROI,94290,VILLENEUVE LE ROI,T12
94078,VILLENEUVE ST GEORGES,94190,VILLENEUVE ST GEORGES,T12
94079,VILLIERS SUR MARNE,94350,VILLIERS SUR MARNE,T10
94080,VINCENNES,94300,VINCENNES,T10
94081,VITRY SUR SEINE,94400,VITRY SUR SEINE,T12
95018,ARGENTEUIL,95100,ARGENTEUIL,T12
